,Stromverbrauch [W],Raumwämebedarf [W],WKA-Leistung [W],PV [W],BHKW Strom [W],Wärmepumpe Strom [W],Wärmepumpe Wärme [W],BHKW Wärme [W],Gaskessel [W],Gasverbrauch [W],Stromproduktion,p_diff,SOC,P_gs,P_gf
2022-01-01 00:00:00,136096.0,812414.75,10975.0,0.0,101000.0,0.0,0.0,139986.0,672428.75,1059643.0555555555,111975.0,-24121.0,0.0,24121.0,0.0
2022-01-01 01:00:00,137535.75,873461.75,15550.0,0.0,101000.0,0.0,0.0,139986.0,733475.75,1127473.0555555555,116550.0,-20985.75,0.0,20985.75,0.0
2022-01-01 02:00:00,135208.75,922838.0,13875.0,0.0,101000.0,0.0,0.0,139986.0,782852.0,1182335.5555555555,114875.0,-20333.75,0.0,20333.75,0.0
2022-01-01 03:00:00,135695.25,933611.0,6200.0,0.0,101000.0,0.0,0.0,139986.0,793625.0,1194305.5555555555,107200.0,-28495.25,0.0,28495.25,0.0
2022-01-01 04:00:00,139011.5,937202.0,11875.0,0.0,101000.0,0.0,0.0,139986.0,797216.0,1198295.5555555555,112875.0,-26136.5,0.0,26136.5,0.0
2022-01-01 05:00:00,136170.75,940793.0,9382.5,0.0,101000.0,0.0,0.0,139986.0,800807.0,1202285.5555555555,110382.5,-25788.25,0.0,25788.25,0.0
2022-01-01 06:00:00,137933.75,937202.0,5080.0,0.0,101000.0,0.0,0.0,139986.0,797216.0,1198295.5555555555,106080.0,-31853.75,0.0,31853.75,0.0
2022-01-01 07:00:00,138847.5,933611.0,8245.0,0.0,101000.0,0.0,0.0,139986.0,793625.0,1194305.5555555555,109245.0,-29602.5,0.0,29602.5,0.0
2022-01-01 08:00:00,138821.25,930020.0,7122.5,0.0,101000.0,0.0,0.0,139986.0,790034.0,1190315.5555555555,108122.5,-30698.75,0.0,30698.75,0.0
2022-01-01 09:00:00,131410.75,929122.25,7260.0,6628.254648459668,101000.0,0.0,0.0,139986.0,789136.25,1189318.0555555555,114888.25464845967,-16522.495351540332,0.0,16522.495351540332,0.0
2022-01-01 10:00:00,133997.25,918349.25,6042.5,20487.63619852206,101000.0,0.0,0.0,139986.0,778363.25,1177348.0555555555,127530.13619852206,-6467.113801477939,0.0,6549.118412004824,82.00461052688479
2022-01-01 11:00:00,134598.25,915656.0,12875.0,36204.49833025019,101000.0,0.0,0.0,139986.0,775670.0,1174355.5555555555,150079.4983302502,15481.248330250193,0.07871052512459863,0.0,0.0
2022-01-01 12:00:00,132707.75,916553.75,14800.0,48372.79084379425,101000.0,0.0,0.0,139986.0,776567.75,1175353.0555555555,164172.79084379427,31465.040843794268,0.24359757544506777,0.0,0.0
2022-01-01 13:00:00,133122.75,922838.0,12750.0,57584.888434832545,101000.0,0.0,0.0,139986.0,782852.0,1182335.5555555555,171334.88843483254,38212.138434832545,0.7107008050482151,0.0,0.0
2022-01-01 14:00:00,134859.0,929122.25,13775.0,31102.255697471406,101000.0,0.0,0.0,139986.0,789136.25,1189318.0555555555,145877.2556974714,11018.25569747141,0.7935185180163382,0.0,2.7157984083896736
2022-01-01 15:00:00,132433.25,930020.0,16675.0,2488.609196331427,101000.0,0.0,0.0,139986.0,790034.0,1190315.5555555555,120163.60919633142,-12269.640803668575,0.7781149640491939,0.0,0.0
2022-01-01 16:00:00,134990.75,930020.0,24225.0,0.0,101000.0,0.0,0.0,139986.0,790034.0,1190315.5555555555,125225.0,-9765.75,0.6381757272472948,0.0,0.0
2022-01-01 17:00:00,138861.75,930020.0,31300.0,0.0,101000.0,0.0,0.0,139986.0,790034.0,1190315.5555555555,132300.0,-6561.75,0.5171692862382291,0.0,405.75
2022-01-01 18:00:00,134724.5,929122.25,37400.0,0.0,101000.0,0.0,0.0,139986.0,789136.25,1189318.0555555555,138400.0,3675.5,0.5164838359999856,0.0,0.0
2022-01-01 19:00:00,143095.75,920144.75,32150.0,0.0,101000.0,0.0,0.0,139986.0,780158.75,1179343.0555555555,133150.0,-9945.75,0.4747608705974123,187.75,0.0
2022-01-01 20:00:00,143071.0,914758.25,25650.0,0.0,101000.0,0.0,0.0,139986.0,774772.25,1173358.0555555555,126650.0,-16421.0,0.2986808799614831,0.0,0.0
2022-01-01 21:00:00,139709.25,909371.75,24775.0,0.0,101000.0,0.0,0.0,139986.0,769385.75,1167373.0555555555,125775.0,-13934.25,0.11222682413243226,0.0,0.0
2022-01-01 22:00:00,138209.0,911167.25,19642.5,0.0,101000.0,0.0,0.0,139986.0,771181.25,1169368.0555555555,120642.5,-17566.5,0.005963649886018501,12795.990453082544,0.0
2022-01-01 23:00:00,139500.75,901292.0,9180.0,0.0,101000.0,0.0,0.0,139986.0,761306.0,1158395.5555555555,110180.0,-29320.75,-0.0025577614368547984,29320.75,0.0
2022-01-02 00:00:00,139114.0,892314.5,14875.0,0.0,101000.0,0.0,0.0,139986.0,752328.5,1148420.5555555555,115875.0,-23239.0,-0.0025577614368547984,23239.0,0.0
2022-01-02 01:00:00,136849.25,896803.25,11207.5,0.0,101000.0,0.0,0.0,139986.0,756817.25,1153408.0555555555,112207.5,-24641.75,-0.0025577614368547984,24641.75,0.0
2022-01-02 02:00:00,137090.5,901292.0,10792.5,0.0,101000.0,0.0,0.0,139986.0,761306.0,1158395.5555555555,111792.5,-25298.0,-0.0025577614368547984,25298.0,0.0
2022-01-02 03:00:00,137881.25,904883.0,16250.0,0.0,101000.0,0.0,0.0,139986.0,764897.0,1162385.5555555555,117250.0,-20631.25,-0.0025577614368547984,20631.25,0.0
2022-01-02 04:00:00,135773.5,909371.75,12582.5,0.0,101000.0,0.0,0.0,139986.0,769385.75,1167373.0555555555,113582.5,-22191.0,-0.0025577614368547984,22191.0,0.0
2022-01-02 05:00:00,142263.0,921042.5,15550.0,0.0,101000.0,0.0,0.0,139986.0,781056.5,1180340.5555555555,116550.0,-25713.0,-0.0025577614368547984,25713.0,0.0
2022-01-02 06:00:00,156939.0,929122.25,13225.0,0.0,101000.0,0.0,0.0,139986.0,789136.25,1189318.0555555555,114225.0,-42714.0,-0.0025577614368547984,42714.0,0.0
2022-01-02 07:00:00,182353.5,926429.0,14712.5,0.0,101000.0,0.0,0.0,139986.0,786443.0,1186325.5555555555,115712.5,-66641.0,-0.0025577614368547984,66641.0,0.0
2022-01-02 08:00:00,205076.25,929122.25,33650.0,0.0,101000.0,0.0,0.0,139986.0,789136.25,1189318.0555555555,134650.0,-70426.25,-0.0025577614368547984,70426.25,0.0
2022-01-02 09:00:00,216935.75,915656.0,35025.0,15374.665577496804,101000.0,0.0,0.0,139986.0,775670.0,1174355.5555555555,151399.6655774968,-65536.08442250319,-0.0025577614368547984,65536.08442250319,0.0
2022-01-02 10:00:00,227549.0,883337.0,34400.0,50760.790256621665,101000.0,0.0,0.0,139986.0,743351.0,1138445.5555555555,186160.79025662167,-41388.209743378335,-0.0025577614368547984,41388.209743378335,0.0
2022-01-02 11:00:00,235856.5,846529.25,17675.0,49213.835127207,101000.0,0.0,0.0,139986.0,706543.25,1097548.0555555555,167888.83512720698,-67967.664872793,-0.0025577614368547984,67967.664872793,0.0
2022-01-02 12:00:00,225531.5,839347.25,46175.0,47666.17931121692,101000.0,0.0,0.0,139986.0,699361.25,1089568.0555555555,194841.17931121693,-30690.320688783082,-0.0025577614368547984,30846.281696011276,155.96100722819392
2022-01-02 13:00:00,222766.0,830369.75,71025.0,40919.857841742574,101000.0,0.0,0.0,139986.0,690383.75,1079593.0555555555,212944.85784174257,-9821.142158257418,0.0017848476500628321,10869.270682841692,0.0
2022-01-02 14:00:00,236007.75,833063.0,76025.0,38609.107115381805,101000.0,0.0,0.0,139986.0,693077.0,1082585.5555555555,215634.1071153818,-20373.642884618195,0.0030544637077614175,20621.11741589063,0.0
2022-01-02 15:00:00,231093.75,839347.25,58900.0,7917.755452038677,101000.0,0.0,0.0,139986.0,699361.25,1089568.0555555555,167817.75545203866,-63275.99454796132,-0.004172122397784295,63275.99454796132,0.0
2022-01-02 16:00:00,213637.5,852813.5,35700.0,0.0,101000.0,0.0,0.0,139986.0,712827.5,1104530.5555555555,136700.0,-76937.5,-0.004172122397784295,76937.5,0.0
2022-01-02 17:00:00,203636.0,861791.0,30125.0,0.0,101000.0,0.0,0.0,139986.0,721805.0,1114505.5555555555,131125.0,-72511.0,-0.004172122397784295,72511.0,0.0
2022-01-02 18:00:00,175903.0,871666.25,25825.0,0.0,101000.0,0.0,0.0,139986.0,731680.25,1125478.0555555555,126825.0,-49078.0,-0.004172122397784295,49078.0,0.0
2022-01-02 19:00:00,160929.25,868075.25,15250.0,0.0,101000.0,0.0,0.0,139986.0,728089.25,1121488.0555555555,116250.0,-44679.25,-0.004172122397784295,44679.25,0.0
2022-01-02 20:00:00,151180.0,862688.75,14250.0,0.0,101000.0,0.0,0.0,139986.0,722702.75,1115503.0555555555,115250.0,-35930.0,-0.004172122397784295,35930.0,0.0
2022-01-02 21:00:00,148039.25,861791.0,8035.0,0.0,101000.0,0.0,0.0,139986.0,721805.0,1114505.5555555555,109035.0,-39004.25,-0.004172122397784295,39004.25,0.0
2022-01-02 22:00:00,145326.25,861791.0,5937.5,0.0,101000.0,0.0,0.0,139986.0,721805.0,1114505.5555555555,106937.5,-38388.75,-0.004172122397784295,38388.75,0.0
2022-01-02 23:00:00,146681.0,866279.75,5907.5,0.0,101000.0,0.0,0.0,139986.0,726293.75,1119493.0555555555,106907.5,-39773.5,-0.004172122397784295,39773.5,0.0
2022-01-03 00:00:00,146453.5,871666.25,33172.5,0.0,101000.0,0.0,0.0,139986.0,731680.25,1125478.0555555555,134172.5,-12281.0,0.0024844889877387935,13671.167683019637,391.75
2022-01-03 01:00:00,146696.0,876155.0,34650.0,0.0,101000.0,0.0,0.0,139986.0,736169.0,1130465.5555555555,135650.0,-11046.0,-0.0042306398063796805,11046.0,0.0
2022-01-03 02:00:00,147041.5,879746.0,38325.0,0.0,101000.0,0.0,0.0,139986.0,739760.0,1134455.5555555555,139325.0,-7716.5,0.0003457099819775544,9109.75,0.0
2022-01-03 03:00:00,147667.25,877052.75,42375.0,0.0,101000.0,0.0,0.0,139986.0,737066.75,1131463.0555555555,143375.0,-4292.25,0.004922059770334789,4292.25,0.0
2022-01-03 04:00:00,148868.75,886030.25,44850.0,0.0,101000.0,0.0,0.0,139986.0,746044.25,1141438.0555555555,145850.0,-3018.75,0.004922059770334789,3018.75,0.0
2022-01-03 05:00:00,183434.5,884234.75,52575.0,0.0,101000.0,0.0,0.0,139986.0,744248.75,1139443.0555555555,153575.0,-29859.5,0.004922059770334789,29859.5,0.0
2022-01-03 06:00:00,192855.75,889621.25,52525.0,0.0,101000.0,0.0,0.0,139986.0,749635.25,1145428.0555555555,153525.0,-39330.75,0.004922059770334789,39330.75,0.0
2022-01-03 07:00:00,205133.75,891416.75,52075.0,0.0,101000.0,0.0,0.0,139986.0,751430.75,1147423.0555555555,153075.0,-52058.75,0.004922059770334789,52058.75,0.0
2022-01-03 08:00:00,230891.5,902189.75,47525.0,0.0,101000.0,0.0,0.0,139986.0,762203.75,1159393.0555555555,148525.0,-82366.5,0.004922059770334789,82366.5,0.0
2022-01-03 09:00:00,246278.25,901292.0,54700.0,5206.389564433264,101000.0,0.0,0.0,139986.0,761306.0,1158395.5555555555,160906.38956443328,-85371.86043556672,0.004922059770334789,85371.86043556672,0.0
2022-01-03 10:00:00,252973.75,876155.0,50200.0,14099.795655777847,101000.0,0.0,0.0,139986.0,736169.0,1130465.5555555555,165299.79565577785,-87673.95434422215,0.004922059770334789,87673.95434422215,0.0
2022-01-03 11:00:00,267690.25,872564.0,43975.0,23757.58759128271,101000.0,0.0,0.0,139986.0,732578.0,1126475.5555555555,168732.58759128273,-98957.66240871728,0.004922059770334789,98957.66240871728,0.0
2022-01-03 12:00:00,266183.25,868973.0,47475.0,40234.09038931807,101000.0,0.0,0.0,139986.0,728987.0,1122485.5555555555,188709.09038931807,-77474.15961068193,0.004922059770334789,77474.15961068193,0.0
2022-01-03 13:00:00,263395.0,866279.75,49850.0,49867.25453382095,101000.0,0.0,0.0,139986.0,726293.75,1119493.0555555555,200717.25453382096,-62677.74546617905,0.004922059770334789,62677.74546617905,0.0
2022-01-03 14:00:00,264776.5,872564.0,50250.0,44522.28671842879,101000.0,0.0,0.0,139986.0,732578.0,1126475.5555555555,195772.2867184288,-69004.2132815712,0.004922059770334789,69004.2132815712,0.0
2022-01-03 15:00:00,248201.25,885132.5,46100.0,15020.157334456755,101000.0,0.0,0.0,139986.0,745146.5,1140440.5555555555,162120.15733445674,-86081.09266554324,0.004922059770334789,86081.09266554324,0.0
2022-01-03 16:00:00,232656.0,896803.25,35175.0,0.0,101000.0,0.0,0.0,139986.0,756817.25,1153408.0555555555,136175.0,-96481.0,0.004922059770334789,96481.0,0.0
2022-01-03 17:00:00,213742.25,901292.0,45700.0,0.0,101000.0,0.0,0.0,139986.0,761306.0,1158395.5555555555,146700.0,-67042.25,0.004922059770334789,67042.25,0.0
2022-01-03 18:00:00,190060.5,905780.75,35075.0,0.0,101000.0,0.0,0.0,139986.0,765794.75,1163383.0555555555,136075.0,-53985.5,0.004922059770334789,53985.5,0.0
2022-01-03 19:00:00,170944.5,911167.25,40600.0,0.0,101000.0,0.0,0.0,139986.0,771181.25,1169368.0555555555,141600.0,-29344.5,0.004922059770334789,29344.5,0.0
2022-01-03 20:00:00,159018.0,916553.75,28875.0,0.0,101000.0,0.0,0.0,139986.0,776567.75,1175353.0555555555,129875.0,-29143.0,0.004922059770334789,29143.0,0.0
2022-01-03 21:00:00,155999.75,922838.0,27725.0,0.0,101000.0,0.0,0.0,139986.0,782852.0,1182335.5555555555,128725.0,-27274.75,0.004922059770334789,27274.75,0.0
2022-01-03 22:00:00,151483.5,929122.25,28950.0,0.0,101000.0,0.0,0.0,139986.0,789136.25,1189318.0555555555,129950.0,-21533.5,0.004922059770334789,21533.5,0.0
2022-01-03 23:00:00,149193.5,933611.0,22775.0,0.0,101000.0,0.0,0.0,139986.0,793625.0,1194305.5555555555,123775.0,-25418.5,0.004922059770334789,25418.5,0.0
2022-01-04 00:00:00,147749.0,941690.75,11980.0,0.0,101000.0,0.0,0.0,139986.0,801704.75,1203283.0555555555,112980.0,-34769.0,0.004922059770334789,34769.0,0.0
2022-01-04 01:00:00,144076.75,972214.25,13625.0,0.0,101000.0,0.0,0.0,139986.0,832228.25,1237198.0555555555,114625.0,-29451.75,0.004922059770334789,29451.75,0.0
2022-01-04 02:00:00,143878.75,980294.0,9520.0,0.0,101000.0,0.0,0.0,139986.0,840308.0,1246175.5555555555,110520.0,-33358.75,0.004922059770334789,33358.75,0.0
2022-01-04 03:00:00,145590.5,982987.25,11090.0,0.0,101000.0,0.0,0.0,139986.0,843001.25,1249168.0555555555,112090.0,-33500.5,0.004922059770334789,33500.5,0.0
2022-01-04 04:00:00,148488.25,976703.0,8350.0,0.0,101000.0,0.0,0.0,139986.0,836717.0,1242185.5555555555,109350.0,-39138.25,0.004922059770334789,39138.25,0.0
2022-01-04 05:00:00,177605.0,966827.75,6717.5,0.0,101000.0,0.0,0.0,139986.0,826841.75,1231213.0555555555,107717.5,-69887.5,0.004922059770334789,69887.5,0.0
2022-01-04 06:00:00,190973.5,962339.0,7630.0,0.0,101000.0,0.0,0.0,139986.0,822353.0,1226225.5555555555,108630.0,-82343.5,0.004922059770334789,82343.5,0.0
2022-01-04 07:00:00,197151.75,958748.0,7372.5,0.0,101000.0,0.0,0.0,139986.0,818762.0,1222235.5555555555,108372.5,-88779.25,0.004922059770334789,88779.25,0.0
2022-01-04 08:00:00,222128.0,961441.25,11487.5,0.0,101000.0,0.0,0.0,139986.0,821455.25,1225228.0555555555,112487.5,-109640.5,0.004922059770334789,109640.5,0.0
2022-01-04 09:00:00,253489.5,949770.5,9615.0,5225.440453372706,101000.0,0.0,0.0,139986.0,809784.5,1212260.5555555555,115840.4404533727,-137649.0595466273,0.004922059770334789,137649.0595466273,0.0
2022-01-04 10:00:00,270909.75,941690.75,8165.0,11829.225170715326,101000.0,0.0,0.0,139986.0,801704.75,1203283.0555555555,120994.22517071533,-149915.52482928467,0.004922059770334789,149915.52482928467,0.0
2022-01-04 11:00:00,282498.25,940793.0,16520.0,10881.643903322652,101000.0,0.0,0.0,139986.0,800807.0,1202285.5555555555,128401.64390332265,-154096.60609667737,0.004922059770334789,154096.60609667737,0.0
2022-01-04 12:00:00,275903.5,934508.75,1890.0,8045.073852022773,101000.0,0.0,0.0,139986.0,794522.75,1195303.0555555555,110935.07385202278,-164968.42614797724,0.004922059770334789,164968.42614797724,0.0
2022-01-04 13:00:00,262050.5,921940.25,1712.5,5708.578127544297,101000.0,0.0,0.0,139986.0,781954.25,1181338.0555555555,108421.0781275443,-153629.4218724557,0.004922059770334789,153629.4218724557,0.0
2022-01-04 14:00:00,261018.5,914758.25,6385.0,3786.6287482562393,101000.0,0.0,0.0,139986.0,774772.25,1173358.0555555555,111171.62874825625,-149846.87125174375,0.004922059770334789,149846.87125174375,0.0
2022-01-04 15:00:00,258800.0,904883.0,4197.5,112.79763530012029,101000.0,0.0,0.0,139986.0,764897.0,1162385.5555555555,105310.29763530011,-153489.7023646999,0.004922059770334789,153489.7023646999,0.0
2022-01-04 16:00:00,248486.75,889621.25,6312.5,0.0,101000.0,0.0,0.0,139986.0,749635.25,1145428.0555555555,107312.5,-141174.25,0.004922059770334789,141174.25,0.0
2022-01-04 17:00:00,227373.25,857302.25,4330.0,0.0,101000.0,0.0,0.0,139986.0,717316.25,1109518.0555555555,105330.0,-122043.25,0.004922059770334789,122043.25,0.0
